PESO REFERENCIA (g/ave),EDAD,SEXO,LINEA,CONSUMO DIARIO,"CONSUMO ACUMULADO 
REFERENCIA (g/ave)",CONVERSION ALIMENTICIA REFERENCIA,GANANCIA/ DIARIA DE REFERENCIA (g/día),PROMEDIO GAD SEMANA,VPI SEMANA,MORTALIDAD,EA,FEE,IP
44,NA,MIXTO,ROSS 308 AP,NA,NA,NA,NA,NA,4.79545454545455,NA,NA,NA,NA
62,1,MIXTO,ROSS 308 AP,17,13,0.203,18,NA,NA,0.0015,NA,NA,NA
80,2,MIXTO,ROSS 308 AP,21,29,0.364,18,NA,NA,0.0025,21.978021978022,NA,NA
101,3,MIXTO,ROSS 308 AP,24,50,0.493,21,NA,NA,0.0035,20.4868154158215,NA,NA
124,4,MIXTO,ROSS 308 AP,28,74,0.598,23,NA,NA,0.0045,20.7357859531773,NA,NA
150,5,MIXTO,ROSS 308 AP,32,102,0.682,26,NA,NA,0.0055,21.9941348973607,NA,NA
179,6,MIXTO,ROSS 308 AP,36,135,0.752,29,NA,NA,0.0065,23.8031914893617,NA,NA
211,7,MIXTO,ROSS 308 AP,40,171,0.809,32,23.8,4.79545454545455,0.0075,26.0815822002472,NA,32.2392857852252
246,8,MIXTO,ROSS 308 AP,45,211,0.857,35,NA,NA,0.0085,28.7047841306884,NA,33.4944972353424
285,9,MIXTO,ROSS 308 AP,49,256,0.899,39,NA,NA,0.0095,31.7018909899889,NA,35.2635049944259
327,10,MIXTO,ROSS 308 AP,52,306,0.935,42,NA,NA,0.0095,34.9732620320856,NA,37.4045583230862
372,11,MIXTO,ROSS 308 AP,56,360,0.966,45,NA,NA,0.0105,38.5093167701863,NA,39.864717153402
421,12,MIXTO,ROSS 308 AP,59,419,0.995,49,NA,NA,0.0115,42.3115577889447,NA,42.5241786823565
473,13,MIXTO,ROSS 308 AP,64,483,1.021,52,NA,NA,0.0125,46.3271302644466,NA,45.37427058222
529,14,MIXTO,ROSS 308 AP,69,552,1.045,56,45.4,2.50710900473934,0.0135,50.622009569378,NA,48.4421144204574
588,15,MIXTO,ROSS 308 AP,75,627,1.067,59,NA,NA,0.0135,55.107778819119,NA,51.6474028295399
650,16,MIXTO,ROSS 308 AP,80,708,1.089,62,NA,NA,0.0145,59.6877869605142,NA,54.8097217268267
715,17,MIXTO,ROSS 308 AP,86,794,1.109,65,NA,NA,0.0155,64.4724977457169,NA,58.1357058121883
784,18,MIXTO,ROSS 308 AP,92,886,1.13,69,NA,NA,0.0165,69.3805309734513,NA,61.3986999765056
856,19,MIXTO,ROSS 308 AP,98,983,1.149,72,NA,NA,0.0175,74.4995648389904,NA,64.8386116962493
930,20,MIXTO,ROSS 308 AP,104,1087,1.169,75,NA,NA,0.0185,79.5551753635586,NA,68.0540422271673
1007,21,MIXTO,ROSS 308 AP,110,1197,1.188,77,68.37,1.90359168241966,0.0195,84.7643097643098,NA,71.3504290945368
1087,22,MIXTO,ROSS 308 AP,116,1313,1.207,80,NA,NA,0.0205,90.0579950289975,NA,74.6130861880675
