"EDAD","SEXO","LINEA","PESO REFERENCIA (g/ave)","CONSUMO DIARIO","CONSUMO ACUMULADO REFERENCIA (g/ave)","CONVERSION ALIMENTICIA REFERENCIA","GANANCIA/ DIARIA DE REFERENCIA (g/día)","PROMEDIO GAD SEMANA","VPI SEMANA"
0,"MACHO","ROSS 308 AP",45,NA,NA,NA,NA,NA,4.68888888888889
0,"HEMBRA","COBB 500",42,NA,NA,NA,NA,NA,4.54761904761905
0,"HEMBRA","ROSS 308 AP",44,NA,NA,NA,NA,NA,4.79545454545455
0,"MACHO","COBB 500",42,NA,NA,NA,NA,NA,4.61904761904762
0,"MIXTO","ROSS 308 AP",44,NA,NA,NA,NA,NA,4.79545454545455
0,"MIXTO","COBB 500",42,NA,NA,NA,NA,NA,4.59523809523809
1,"MACHO","ROSS 308 AP",62,NA,11,0.184,17,NA,NA
2,"MACHO","ROSS 308 AP",80,15,27,0.335,18,NA,NA
3,"MACHO","ROSS 308 AP",100,19,46,0.459,20,NA,NA
4,"MACHO","ROSS 308 AP",123,23,69,0.562,23,NA,NA
5,"MACHO","ROSS 308 AP",149,27,97,0.647,26,NA,NA
6,"MACHO","ROSS 308 AP",178,32,128,0.719,29,NA,NA
7,"MACHO","ROSS 308 AP",211,36,164,0.779,32,23.73,4.68888888888889
8,"MACHO","ROSS 308 AP",246,40,205,0.831,36,NA,NA
9,"MACHO","ROSS 308 AP",285,45,250,0.875,39,NA,NA
10,"MACHO","ROSS 308 AP",328,50,300,0.913,43,NA,NA
11,"MACHO","ROSS 308 AP",374,55,355,0.948,46,NA,NA
12,"MACHO","ROSS 308 AP",424,60,415,0.978,50,NA,NA
13,"MACHO","ROSS 308 AP",478,66,481,1.006,54,NA,NA
14,"MACHO","ROSS 308 AP",535,71,552,1.031,57,46.37,2.53554502369668
15,"MACHO","ROSS 308 AP",596,77,629,1.055,61,NA,NA
16,"MACHO","ROSS 308 AP",661,83,712,1.078,65,NA,NA
